x	 prey 	 predator
14.7028	3.20997	10.7612
14.7094	3.14325	10.7554
14.716	3.07723	10.749
14.7227	3.0119	10.7422
14.7295	2.94726	10.7347
14.7364	2.88329	10.7267
14.7434	2.82001	10.7181
14.7504	2.75741	10.709
14.7575	2.69547	10.6992
14.7648	2.63421	10.6889
14.7721	2.57362	10.678
14.7796	2.51369	10.6664
14.7871	2.45442	10.6542
14.7947	2.39581	10.6414
14.8025	2.33787	10.6279
14.8104	2.28058	10.6137
14.8184	2.22394	10.5989
14.8265	2.16796	10.5834
14.8348	2.11263	10.5671
14.8432	2.05795	10.5501
14.8517	2.00393	10.5324
14.8604	1.95055	10.5139
14.8692	1.89783	10.4947
14.8782	1.84575	10.4746
14.8874	1.79433	10.4537
14.8967	1.74355	10.4319
14.9062	1.69342	10.4093
14.9159	1.64395	10.3858
14.9258	1.59512	10.3614
14.9359	1.54695	10.336
14.9462	1.49943	10.3097
14.9567	1.45256	10.2823
14.9675	1.40635	10.254
14.9785	1.3608	10.2245
14.9897	1.3159	10.1939
15.0012	1.27166	10.1622
15.013	1.22809	10.1293
15.0251	1.18518	10.0952
15.0375	1.14294	10.0598
15.0502	1.10137	10.0231
15.0632	1.06047	9.98496
15.0766	1.02025	9.94543
15.0904	0.980707	9.90441
15.1046	0.941849	9.86184
15.1192	0.903679	9.81764
15.1342	0.866201	9.77175
15.1497	0.829419	9.7241
15.1657	0.79334	9.67459
15.1823	0.757967	9.62313
15.1994	0.723308	9.56964
15.2171	0.689368	9.51401
15.2354	0.656154	9.45613
15.2544	0.623674	9.39587
15.2742	0.591935	9.33311
15.2947	0.560947	9.26772
15.3161	0.530719	9.19954
15.3384	0.501262	9.12841
15.3616	0.472588	9.05417
15.3859	0.44471	8.97664
15.4113	0.417642	8.89562
15.4379	0.391403	8.81092
15.4658	0.36601	8.72233
15.4951	0.341486	8.62965
15.5259	0.317854	8.53268
15.5582	0.295142	8.43123
15.5923	0.273382	8.32516
