x	 y 	 diff
0.204082	0.489796	0.0604768
0.408163	0.489796	0.113531
0.612245	0.489796	0.152047
0.816327	0.489796	0.169515
1.02041	0.489796	0.160297
1.22449	0.489796	0.193028
1.42857	0.489796	0.249841
1.63265	0.489796	0.270399
1.83673	0.489796	0.254402
2.04082	0.489796	0.203067
2.2449	0.489796	0.132063
2.44898	0.489796	0.136322
2.65306	0.489796	0.117193
2.85714	0.489796	0.0808748
3.06122	0.489796	0.0342787
3.26531	0.489796	0.0152578
3.46939	0.489796	0.0789446
3.67347	0.489796	0.140175
3.87755	0.489796	0.18283
4.08163	0.489796	0.200899
4.28571	0.489796	0.18939
4.4898	0.489796	0.176031
4.69388	0.489796	0.23717
4.89796	0.489796	0.261689
5.10204	0.489796	0.250212
5.30612	0.489796	0.204855
5.5102	0.489796	0.129141
5.71429	0.489796	0.103873
5.91837	0.489796	0.0805936
6.12245	0.489796	0.0442475
6.32653	0.489796	0.00203966
6.53061	0.489796	0.0385811
6.73469	0.489796	0.0885597
6.93878	0.489796	0.159213
7.14286	0.489796	0.207539
7.34694	0.489796	0.228117
7.55102	0.489796	0.216677
7.7551	0.489796	0.17028
7.95918	0.489796	0.217684
8.16327	0.489796	0.244945
8.36735	0.489796	0.23732
8.57143	0.489796	0.19779
8.77551	0.489796	0.130664
8.97959	0.489796	0.074743
9.18367	0.489796	0.0447368
9.38776	0.489796	0.00598536
9.59184	0.489796	0.0341217
9.79592	0.489796	0.0681386
10	0.489796	0.0888724

0	0.734694	0
0.204082	0.734694	0.0551454
0.408163	0.734694	0.104049
0.612245	0.734694	0.140728
0.816327	0.734694	0.159707
1.02041	0.734694	0.156246
1.22449	0.734694	0.185408
1.42857	0.734694	0.232699
1.63265	0.734694	0.249503
1.83673	0.734694	0.235567
2.04082	0.734694	0.191916
2.2449	0.734694	0.131255
2.44898	0.734694	0.130116
2.65306	0.734694	0.109312
2.85714	0.734694	0.0740524
3.06122	0.734694	0.0301504
3.26531	0.734694	0.0162242
3.46939	0.734694	0.0738211
