x	 y 	 diff
4.57143	4.77551	2.10296
4.69388	4.77551	2.38145
4.81633	4.77551	2.66748
4.93878	4.77551	2.95196
5.06122	4.77551	3.22578
5.18367	4.77551	3.47983
5.30612	4.77551	3.70498
5.42857	4.77551	3.89208
5.55102	4.77551	4.03198
5.67347	4.77551	1.60494
5.79592	4.77551	1.47166
5.91837	4.77551	1.42968
6.04082	4.77551	1.51998
6.16327	4.77551	1.78357
6.28571	4.77551	2.26146
6.40816	4.77551	2.99466
6.53061	4.77551	4.02417
6.65306	4.77551	5.391
6.77551	4.77551	4.23557
6.89796	4.77551	4.47064
7.02041	4.77551	4.80668
7.14286	4.77551	5.27017
7.26531	4.77551	5.88758
7.38776	4.77551	6.68536
7.5102	4.77551	7.68995
7.63265	4.77551	8.92778
7.7551	4.77551	10.4253
7.87755	4.77551	2.82887
8	4.77551	3.06918

2	4.93878	7.33076
2.12245	4.93878	7.8767
2.2449	4.93878	1.59631
2.36735	4.93878	1.22204
2.4898	4.93878	0.750318
2.61224	4.93878	0.248433
2.73469	4.93878	0.216309
2.85714	4.93878	0.576574
2.97959	4.93878	0.765009
3.10204	4.93878	0.714243
3.22449	4.93878	0.356901
3.34694	4.93878	5.19563
3.46939	4.93878	5.25249
3.59184	4.93878	5.30924
3.71429	4.93878	5.41545
3.83673	4.93878	5.62066
3.95918	4.93878	5.97438
4.08163	4.93878	6.52608
4.20408	4.93878	7.3252
4.32653	4.93878	8.42115
4.44898	4.93878	3.23212
4.57143	4.93878	3.76702
4.69388	4.93878	4.32452
4.81633	4.93878	4.88215
4.93878	4.93878	5.41737
5.06122	4.93878	5.9076
5.18367	4.93878	6.33021
5.30612	4.93878	6.66254
5.42857	4.93878	6.88184
5.55102	4.93878	6.96537
5.67347	4.93878	2.16665
5.79592	4.93878	1.84235
5.91837	4.93878	1.66398
6.04082	4.93878	1.70025
6.16327	4.93878	2.0199
6.28571	4.93878	2.69166
6.40816	4.93878	3.78429
6.53061	4.93878	5.36653
6.65306	4.93878	7.50712
6.77551	4.93878	6.90474
6.89796	4.93878	7.26474
7.02041	4.93878	7.76469
7.14286	4.93878	8.44221
7.26531	4.93878	9.3349
