x	 y 	 value
3.94926	-1.91906	-3.46666
3.95876	-1.95154	-3.37149
3.96828	-1.98318	-3.27465
3.97783	-2.01397	-3.17618
3.9874	-2.04389	-3.07609
3.99699	-2.07292	-2.97443
4.00662	-2.10104	-2.87121
4.01626	-2.12824	-2.76648
4.02594	-2.15449	-2.66025
4.03564	-2.17979	-2.55258
4.04537	-2.2041	-2.44348
4.05513	-2.22741	-2.333
4.06492	-2.24971	-2.22117
4.07474	-2.27097	-2.10805
4.08459	-2.29117	-1.99366
4.09447	-2.3103	-1.87806
4.10439	-2.32834	-1.7613
4.11433	-2.34527	-1.64343
4.1243	-2.36107	-1.52451
4.1343	-2.37571	-1.40461
4.14433	-2.3892	-1.28378
4.15439	-2.40149	-1.1621
4.16447	-2.41259	-1.03965
4.17457	-2.42248	-0.916511
4.18469	-2.43113	-0.792775
4.19484	-2.43854	-0.668534
4.205	-2.4447	-0.543888
4.21517	-2.4496	-0.418942
4.22534	-2.45323	-0.293804
4.23553	-2.45558	-0.168586
4.24571	-2.45666	-0.0434008
4.25589	-2.45646	0.0816373
4.26606	-2.455	0.206415
4.27623	-2.45227	0.33082
4.28637	-2.44828	0.454744
4.2965	-2.44305	0.578082
4.30661	-2.43659	0.700735
4.31669	-2.42891	0.82261
4.32674	-2.42003	0.943618
4.33677	-2.40996	1.06368
4.34676	-2.39874	1.18272
4.35672	-2.38637	1.30067
4.36665	-2.37287	1.41748
4.37655	-2.35827	1.53307
4.38641	-2.34258	1.64741
4.39624	-2.32584	1.76045
4.40603	-2.30805	1.87214
4.41579	-2.28923	1.98245
4.42552	-2.26942	2.09135
4.43521	-2.24861	2.19879
4.44488	-2.22685	2.30476
4.45451	-2.20414	2.40923
4.46412	-2.1805	2.51216
4.47369	-2.15596	2.61354
4.48324	-2.13052	2.71333
4.49277	-2.10421	2.81153
4.50226	-2.07704	2.90811
4.51174	-2.04904	3.00304
4.52119	-2.02022	3.0963
4.53062	-1.99059	3.18789
4.54002	-1.96018	3.27777
4.54941	-1.92899	3.36592
4.55878	-1.89705	3.45234
4.56813	-1.86438	3.53699
4.57746	-1.83098	3.61987
4.58677	-1.79688	3.70095
4.59607	-1.7621	3.78021
4.60535	-1.72664	3.85765
4.61462	-1.69053	3.93323
4.62388	-1.65378	4.00695
4.63312	-1.61641	4.07878
4.64235	-1.57843	4.14871
4.65157	-1.53987	4.21673
4.66078	-1.50074	4.28281
4.66998	-1.46105	4.34695
4.67916	-1.42082	4.40913
4.68834	-1.38007	4.46933
4.69751	-1.33882	4.52754
4.70667	-1.29708	4.58374
4.71582	-1.25487	4.63792
4.72497	-1.21221	4.69007
4.73411	-1.16911	4.74018
4.74324	-1.12559	4.78822
4.75237	-1.08168	4.8342
4.76149	-1.03737	4.8781
4.77061	-0.992705	4.91991
4.77972	-0.947688	4.95962
4.78883	-0.902339	4.99721
4.79793	-0.856677	5.03268
4.80704	-0.810719	5.06603
4.81613	-0.764482	5.09724
4.82523	-0.717985	5.1263
4.83432	-0.671245	5.15321
4.84341	-0.624281	5.17796
4.8525	-0.57711	5.20054
4.86159	-0.52975	5.22095
4.87068	-0.48222	5.23919
4.87976	-0.434537	5.25525
4.88885	-0.386719	5.26913
4.89793	-0.338786	5.28081
4.90702	-0.290754	5.29031
4.91611	-0.242642	5.29762
4.9252	-0.194469	5.30273
4.93429	-0.146252	5.30566
4.94338	-0.0980096	5.30638
4.95247	-0.0497606	5.30492
4.96156	-0.00152278	5.30126
4.97066	0.0466855	5.29541
4.97976	0.0948459	5.28737
4.98887	0.14294	5.27715
4.99797	0.19095	5.26475
5.00709	0.238858	5.25016
5.0162	0.286644	5.23341
5.02532	0.334292	5.21448
5.03445	0.381783	5.1934
5.04358	0.429098	5.17016
5.05271	0.47622	5.14476
5.06185	0.523131	5.11723
5.071	0.569812	5.08756
5.08016	0.616246	5.05577
5.08932	0.662414	5.02187
5.09849	0.708299	4.98585
5.10766	0.753882	4.94775
5.11685	0.799146	4.90756
5.12604	0.844074	4.86529
5.13524	0.888647	4.82097
5.14446	0.932848	4.77459
5.15368	0.976659	4.72619
5.16291	1.02006	4.67576
5.17215	1.06304	4.62332
5.18141	1.10558	4.56889
5.19067	1.14765	4.51248
5.19995	1.18925	4.45411
5.20924	1.23036	4.3938
5.21854	1.27095	4.33155
5.22786	1.31102	4.2674
5.23719	1.35053	4.20135
5.24654	1.38949	4.13342
5.2559	1.42787	4.06363
5.26528	1.46564	3.992
5.27468	1.50281	3.91855
5.28409	1.53934	3.8433
5.29352	1.57523	3.76628
5.30297	1.61045	3.68749
5.31244	1.64499	3.60696
5.32193	1.67883	3.52471
5.33144	1.71196	3.44077
5.34097	1.74435	3.35516
5.35052	1.776	3.26789
5.3601	1.80687	3.179
5.36971	1.83697	3.08851
5.37933	1.86626	2.99644
5.38899	1.89474	2.90281
5.39867	1.92238	2.80767
5.40837	1.94917	2.71102
5.41811	1.97509	2.61291
5.42787	2.00012	2.51335
5.43767	2.02424	2.41238
5.44749	2.04745	2.31004
5.45735	2.06971	2.20635
5.46724	2.091	2.10135
5.47716	2.11133	1.99509
5.48711	2.13065	1.88759
5.4971	2.14896	1.77891
5.50711	2.16623	1.66908
5.51717	2.18245	1.55817
5.52725	2.1976	1.44622
5.53737	2.21166	1.33329
5.54751	2.22462	1.21945
5.55769	2.23644	1.10476
5.56789	2.24713	0.989303
5.57812	2.25666	0.873152
5.58838	2.26501	0.756395
5.59865	2.27218	0.639122
5.60894	2.27815	0.521432
5.61925	2.28292	0.403425
5.62956	2.28647	0.285208
5.63989	2.28881	0.166891
5.65021	2.28992	0.048584
5.66053	2.28981	-0.0695986
5.67085	2.28848	-0.187545
5.68115	2.28594	-0.305143
5.69144	2.2822	-0.422285
5.70171	2.27726	-0.538868
5.71196	2.27115	-0.654791
5.72218	2.26386	-0.769963
5.73237	2.25543	-0.884295
5.74253	2.24587	-0.997709
5.75266	2.23519	-1.11013
5.76276	2.22342	-1.22149
5.77282	2.21058	-1.33173
5.78284	2.19668	-1.4408
5.79283	2.18175	-1.54865
5.80278	2.16581	-1.65522
5.81269	2.14887	-1.76049
5.82257	2.13096	-1.86442
5.83242	2.1121	-1.96697
5.84223	2.09231	-2.06811
5.852	2.0716	-2.16782
5.86175	2.04999	-2.26607
5.87146	2.02751	-2.36284
5.88114	2.00417	-2.4581
5.89079	1.97999	-2.55183
5.90042	1.95499	-2.64402
5.91001	1.92917	-2.73464
5.91959	1.90257	-2.82368
5.92913	1.87519	-2.91111
5.93865	1.84706	-2.99692
5.94815	1.81819	-3.08109
5.95763	1.78859	-3.1636
5.96709	1.75829	-3.24444
5.97653	1.72729	-3.32358
5.98595	1.69562	-3.40102
5.99535	1.66329	-3.47674
6.00473	1.63031	-3.55071
6.0141	1.59671	-3.62293
6.02345	1.56249	-3.69338
6.03279	1.52768	-3.76204
6.04211	1.49229	-3.82891
6.05142	1.45633	-3.89395
6.06072	1.41983	-3.95716
6.07001	1.38279	-4.01853
6.07928	1.34524	-4.07804
6.08854	1.30719	-4.13567
6.0978	1.26865	-4.19142
6.10704	1.22965	-4.24527
6.11628	1.1902	-4.2972
6.12551	1.15031	-4.34722
6.13473	1.11	-4.39529
6.14394	1.06928	-4.44142
6.15315	1.02819	-4.48559
6.16235	0.98672	-4.5278
6.17154	0.9449	-4.56802
6.18073	0.902744	-4.60625
6.18992	0.860268	-4.64249
6.1991	0.81749	-4.67672
6.20827	0.774425	-4.70893
6.21744	0.731092	-4.73912
6.22661	0.687506	-4.76728
6.23578	0.643685	-4.79341
6.24494	0.599646	-4.81749
6.2541	0.555405	-4.83952
6.26326	0.51098	-4.8595
6.27242	0.466389	-4.87742
6.28158	0.421647	-4.89328
6.29074	0.376773	-4.90707
6.29989	0.331783	-4.9188
6.30905	0.286695	-4.92845
6.31821	0.241526	-4.93602
6.32736	0.196293	-4.94152
6.33652	0.151013	-4.94495
6.34568	0.105705	-4.9463
6.35485	0.0603846	-4.94557
6.36401	0.0150698	-4.94277
6.37318	-0.0302222	-4.93789
6.38235	-0.075474	-4.93094
6.39152	-0.120668	-4.92192
6.4007	-0.165788	-4.91084
6.40988	-0.210816	-4.89769
6.41906	-0.255734	-4.88248
6.42825	-0.300526	-4.86522
6.43744	-0.345174	-4.84591
6.44664	-0.389661	-4.82456
6.45585	-0.433969	-4.80118
6.46506	-0.478082	-4.77576
6.47428	-0.521983	-4.74832
6.4835	-0.565654	-4.71887
6.49274	-0.609078	-4.68741
6.50197	-0.652239	-4.65395
6.51122	-0.695118	-4.61851
6.52048	-0.7377	-4.58109
6.52974	-0.779968	-4.54171
6.53902	-0.821904	-4.50037
6.5483	-0.863492	-4.45708
6.5576	-0.904714	-4.41187
6.5669	-0.945555	-4.36473
6.57622	-0.985998	-4.31569
6.58555	-1.02603	-4.26476
6.59489	-1.06562	-4.21195
6.60425	-1.10477	-4.15727
6.61361	-1.14345	-4.10074
6.623	-1.18165	-4.04238
6.63239	-1.21936	-3.98221
6.6418	-1.25655	-3.92022
6.65123	-1.29321	-3.85646
6.66067	-1.32933	-3.79092
6.67014	-1.36488	-3.72363
6.67961	-1.39985	-3.65461
6.68911	-1.43423	-3.58388
6.69863	-1.46799	-3.51144
6.70817	-1.50113	-3.43733
6.71772	-1.53362	-3.36156
6.7273	-1.56546	-3.28415
6.7369	-1.59662	-3.20512
6.74653	-1.62708	-3.1245
6.75618	-1.65684	-3.0423
6.76585	-1.68587	-2.95854
6.77555	-1.71415	-2.87325
6.78528	-1.74168	-2.78645
6.79503	-1.76844	-2.69816
6.80482	-1.7944	-2.60842
